_table,part_id,type,category,base_desc,size_spec,variant,plain_desc,supplier,uom,qty_on_hand,unit_cost,cost,brand_mfg,supplier_pn,pkg_size,pkg_cost,labor_hrs,on_hand,status,supplier_2,brand_mfg_2,supplier_pn_2,pkg_size_2,pkg_cost_2,unit_cost_2,use_alt_supplier,last_cost_date,parent_id,child_id,qty,project_id,proj_status,customer,notes,labor_rate,markup,picked,item_type,box_num,discount_pct,discount_flat,weight,pallet_num,dimensions,description,labor_hrs,apply_markup,show_on_proforma,sort_order,version,quote_status,currency,overhead_rate,markup_pct,freight_inbound,freight_outbound,cal_gases_cost,cal_gases_freight,training_days,training_cost,training_notes,discount_note,internal_notes,proforma_header,proforma_footer,other_items
PART,ASSY-BLC-CYCLONE-3LPM,ASSY,BLC,CYCLONE,3LPM,,Small 3 LPM cyclone assembly,,ea,0.0,328.9745,0.0,,,1.0,0.0,0.25,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
PART,ASSY-BLC-SAMPLETRAIN-3LPM,ASSY,BLC,SAMPLETRAIN,3LPM,,"3 LPM sample train with critical orifice and shutoff valve, tee's off of dual grav train.",,ea,0.0,156.652,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-BLC-STDPKG,ASSY,BLC,STDPKG,,,Standard black carbon system.,,ea,0.0,1241.1565,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-GASCAL,ASSY,CAL,GASCAL,,,Gas calibration supplies,,ea,0.0,1177.842,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-HIFREQ,ASSY,CAL,HIFREQ,,,High frequency calibration supplies,,ea,0.0,1324.4921,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-INCLMANOMETER,ASSY,CAL,INCLMANOMETER,,,Inclined manometer + accessories,,ea,0.0,818.3409,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-LEAKCHECKS,ASSY,CAL,LEAKCHECKS,,,Leak check kit,,ea,0.0,146.6501,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-LOFREQ,ASSY,CAL,LOFREQ,,,Low frequency calibration supplies,,ea,0.0,2658.02,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-MNMTRSTAND,ASSY,CAL,MNMTRSTAND,,,Stand for inclined manometer,,ea,0.0,11.0773,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-PITOTBRACKET,ASSY,CAL,PITOTBRACKET,,,Static pitot tube bracket,,ea,0.0,8.9454,0.0,,,1.0,0.0,0.25,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-STDPKG,ASSY,CAL,STDPKG,,,Standard calibration system.,,ea,0.0,3982.5121,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-VELOCITYTRAVERSE,ASSY,CAL,VELOCITYTRAVERSE,,,Velocity traverse kit,,ea,0.0,1023.8303,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-CAL-ZEROGASMIXER,ASSY,CAL,ZEROGASMIXER,,,"Zero gas mixing manifold, used with locally source O2 and N2.",,ea,0.0,202.2848,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-BLOWER,ASSY,DLT,BLOWER,,,Dayton squirrel cage blower with mounting hardware and power cord.,,ea,0.0,406.878,0.0,,,1.0,0.0,0.25,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-BLOWERADPTR,ASSY,DLT,BLOWERADPTR,,,Blower to duct adapter,,ea,0.0,50.64,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-DILUTIONTUNNEL,ASSY,DLT,DILUTIONTUNNEL,,,Complete standard dilution tunnel with sample ports and flow grid installed.,,ea,0.0,1326.62055,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-FLATPACKHOOD,ASSY,DLT,FLATPACKHOOD,,,"Flat-pack hood/test bench, customized per project.",,ea,0.0,1163.1,0.0,,,1.0,0.0,8.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-HOODADPTR,ASSY,DLT,HOODADPTR,,,Hood to duct adapter,,ea,0.0,49.0,0.0,,,1.0,0.0,0.17,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,
PART,ASSY-DLT-STDPKG,ASSY,DLT,STDPKG,,,Standard dilution tunnel system.,,ea,0.0,1733.49855,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-CYCLONE-16.7LPM,ASSY,GRV,CYCLONE,16.7LPM,,Cyclone assembly with tube for sample port.,,ea,0.0,1076.1305,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-FILTERHOLDR-47MM-PLASTIC,ASSY,GRV,FILTERHOLDR,47MM,PLASTIC,47mm filter holder with cassette inside,,ea,0.0,259.87,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-FILTERMSRMNT,ASSY,GRV,FILTERMSRMNT,,,Filter measurement equipment and supplies,,ea,0.0,2670.96,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-GRAVPUMP,ASSY,GRV,GRAVPUMP,,,Gravimetric pump with base and switch,,ea,0.0,1038.3004,0.0,,,1.0,0.0,2.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-HOSEXTENSION,ASSY,GRV,HOSEXTENSION,,,Gravimetric filter hose extensions,,ea,0.0,53.464,0.0,,,1.0,0.0,0.5,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-SAMPLETRAIN-DUAL,ASSY,GRV,SAMPLETRAIN,DUAL,,"Dual gravimetric hose assembly with critical orifices, shutoff valves, pressure gauge.",,ea,0.0,273.87,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-SAMPLETRAIN-SINGLE,ASSY,GRV,SAMPLETRAIN,SINGLE,,"Single gravimetric hose assembly with critical orifice, shutoff valve, and pressure gauge.",,ea,0.0,154.718,0.0,,,1.0,0.0,1.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-STDPKG-T3,ASSY,GRV,STDPKG,,T3,Standard ISO gravimetric system for Tier 3 stoves - one cyclone,,ea,0.0,5998.33746,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-GRV-UPGRADE-TIER-4,ASSY,GRV,UPGRADE,TIER-4,,"All components for adding a second sample train to run two filters in parallel.  includes filter holders, critical orifice, cyclone, etc...",,ea,0.0,1869.7405,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT,ASSY,LAB,DURABILITY-KIT,,,Durability testing kit,,ea,0.0,2190.7117,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT-CORROSION-REFERENCES,ASSY,LAB,DURABILITY-KIT,CORROSION-REFERENCES,,"Sample coupons of Mild Steel, Hot-Dipped Galvanized Steel, ASTM 304 Stainless, and 409/410 stainless",,ea,0.0,7.47388,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-DURABILITY-KIT-IMPACT-SEGMENTS,ASSY,LAB,DURABILITY-KIT,IMPACT-SEGMENTS,,"3/4"" OD steel bar segments. 25g, 50g, 100g, 150g, 200g, 250g (+/- 1g)",,ea,0.0,4.74472,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-RASPBERRYPI5-STANDALONE,ASSY,LAB,RASPBERRYPI5,,STANDALONE,"Standalone Raspberry Pi with Ubuntu+Musa Plotter, includes power supply, case, mouse/keyboard, and 22"" monitor.",,ea,0.0,277.23,0.0,,,1.0,0.0,4.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-LAB-STDPKG,ASSY,LAB,STDPKG,,,Standard lab equipment package.,,ea,0.0,205.747497,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-FLOWGRIDTUBES,ASSY,SBX,FLOWGRIDTUBES,,,Flow grid tubing with QC's,,ea,0.0,54.4,0.0,,,1.0,0.0,0.08,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-SB4000,ASSY,SBX,SB4000,,,"4000 series sensor box, base model.",,ea,0.0,5355.02,0.0,,,1.0,0.0,24.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-STDPKG,ASSY,SBX,STDPKG,,,Standard sensorbox 4000 system.,,ea,0.0,5607.379,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-TCEXTNSN-6FT,ASSY,SBX,TCEXTNSN,6FT,,"Thermocouple extension cable, 6ft.",,ea,0.0,11.94,0.0,,,1.0,0.0,0.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-CHIMNEYVELOC,ASSY,SBX,UPGRADE,,CHIMNEYVELOC,"SBX Upgrade: Hi-res pressure sensor, S-type Pitot probe and plumbing",,ea,0.0,255.508134,0.0,,,1.0,0.0,2.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
PART,ASSY-SBX-UPGRADE-DIGIGRAV,ASSY,SBX,UPGRADE,,DIGIGRAV,SBX Upgrade: Digital gravimetric flow monitors.,,ea,0.0,806.2638,0.0,,,1.0,0.0,5.0,0.0,ACTIVE,,,,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
